Date,Close,1Month,3Months,6Months,12Months
4/1/2006,1310.609985,0.012155653,0.023850095,0.08583191,0.132912661
5/1/2006,1270.089966,-0.030916916,-0.00825361,0.016494851,0.065958847
6/1/2006,1270.199951,8.65962E-05,-0.01905214,0.01755194,0.066203317
7/1/2006,1276.660034,0.005085879,-0.025903931,-0.002671647,0.034419597
8/1/2006,1303.819946,0.021274193,0.026557158,0.018084356,0.068415915
9/1/2006,1335.849976,0.024566299,0.051684796,0.03164795,0.087108594
10/1/2006,1377.939941,0.031508003,0.079331932,0.051372992,0.141614344
11/1/2006,1400.630005,0.016466657,0.074251095,0.102780151,0.120970346
12/1/2006,1418.300049,0.012615783,0.061721057,0.116595893,0.136194318
1/1/2007,1438.23999,0.014059043,0.043761014,0.126564592,0.123554809
2/1/2007,1406.819946,-0.021846176,0.004419398,0.078998638,0.098511634
3/1/2007,1420.859985,0.009979983,0.001804933,0.063637392,0.097299335
4/1/2007,1482.369995,0.043290691,0.030683339,0.075787087,0.131053488
5/1/2007,1530.619995,0.032549229,0.087999924,0.092808229,0.205127224
6/1/2007,1503.349976,-0.017816322,0.058056383,0.059966103,0.183553798
7/1/2007,1455.27002,-0.031981878,-0.018281519,0.011840882,0.13990411
8/1/2007,1473.98999,0.012863572,-0.036998083,0.047746013,0.130516521
9/1/2007,1526.75,0.035794008,0.015565254,0.074525299,0.142905287
10/1/2007,1549.380005,0.014822338,0.064668401,0.045204645,0.124417661
11/1/2007,1481.140015,-0.044043417,0.004850796,-0.032326757,0.057481283
12/1/2007,1468.359985,-0.008628509,-0.038244647,-0.023274681,0.03529573
1/1/2008,1378.550049,-0.061163432,-0.110256977,-0.052718719,-0.041502073
2/1/2008,1330.630005,-0.034761193,-0.101617679,-0.097259809,-0.054157564
3/1/2008,1322.699951,-0.005959624,-0.099199131,-0.133649942,-0.069084945
4/1/2008,1385.589966,0.047546698,0.005106755,-0.105713278,-0.065287364
5/1/2008,1400.380005,0.010674182,0.052418779,-0.054525574,-0.085089696
6/1/2008,1280,-0.085962385,-0.032282417,-0.12827916,-0.148568184
7/1/2008,1267.380005,-0.009859371,-0.085313811,-0.080642733,-0.129110071
8/1/2008,1282.829956,0.012190465,-0.083941536,-0.03592287,-0.129688828
9/1/2008,1166.359985,-0.090791434,-0.088781262,-0.118197605,-0.236050444
10/1/2008,968.75,-0.169424524,-0.235627834,-0.300839336,-0.374749902
11/1/2008,896.23999,-0.074849043,-0.301357139,-0.360002295,-0.394898537
12/1/2008,903.25,0.007821577,-0.225582143,-0.294335938,-0.38485793
1/1/2009,825.880005,-0.085657343,-0.147478705,-0.348356451,-0.400906768
2/1/2009,735.090027,-0.109931198,-0.179806709,-0.426977813,-0.447562415
3/1/2009,797.869995,0.085404462,-0.116667595,-0.315931612,-0.396786857
4/1/2009,872.809998,0.09392508,0.056824227,-0.099034841,-0.370080601
5/1/2009,919.140015,0.053081446,0.250377479,0.02555122,-0.343649572
6/1/2009,919.320007,0.000195827,0.152217796,0.017791317,-0.281781245
7/1/2009,987.47998,0.074141727,0.131380234,0.195670042,-0.22084933
8/1/2009,1020.619995,0.033560189,0.110407531,0.38842857,-0.204399624
9/1/2009,1057.079956,0.035723346,0.149849832,0.324877439,-0.093693225
10/1/2009,1036.189941,-0.019762001,0.049327543,0.187188441,0.069615423
11/1/2009,1095.630005,0.057364062,0.073494553,0.192016436,0.22247391
12/1/2009,1115.099976,0.017770571,0.054887069,0.212961719,0.234541905
1/1/2010,1073.869995,-0.036974246,0.036364041,0.087485333,0.300273634
2/1/2010,1104.48999,0.028513689,0.008086658,0.082175536,0.502523432
3/1/2010,1169.430054,0.058796426,0.048722159,0.106283444,0.465689976
4/1/2010,1186.689941,0.01475923,0.105059222,0.145243641,0.359620013
5/1/2010,1089.410034,-0.081975842,-0.013653321,-0.005677073,0.185249272
6/1/2010,1030.709961,-0.053882442,-0.118621967,-0.075679326,0.121165593
7/1/2010,1101.599976,0.06877785,-0.07170362,0.025822475,0.115566896
8/1/2010,1049.329956,-0.047449184,-0.036790627,-0.049941633,0.028129922
9/1/2010,1141.199951,0.087551103,0.107197945,-0.024140053,0.079577703
10/1/2010,1183.26001,0.036855994,0.074128573,-0.002890335,0.141933504
11/1/2010,1180.550049,-0.00229025,0.125051317,0.083659974,0.077507958
12/1/2010,1257.640015,0.06530004,0.102033008,0.220168682,0.127827138
1/1/2011,1286.119995,0.022645574,0.086929317,0.167501836,0.197649623
2/1/2011,1327.219971,0.031956564,0.124238631,0.264826153,0.201658669
3/1/2011,1325.829956,-0.001047313,0.054220556,0.161785851,0.133740279
4/1/2011,1363.609985,0.02849538,0.06025098,0.152417874,0.149087001
5/1/2011,1345.199951,-0.013500953,0.013547099,0.139468803,0.234796733
6/1/2011,1320.640015,-0.018257461,-0.003914485,0.050093826,0.2812916
7/1/2011,1292.280029,-0.021474426,-0.052309646,0.004789626,0.173093734
8/1/2011,1218.890015,-0.056791107,-0.093896774,-0.081621704,0.161588886
9/1/2011,1131.420044,-0.071761988,-0.143278993,-0.146632614,-0.008569845
10/1/2011,1253.300049,0.107723039,-0.030163725,-0.080895518,0.059192433
11/1/2011,1246.959961,-0.005058715,0.023029105,-0.073030028,0.056253364
12/1/2011,1257.599976,0.008532764,0.111523508,-0.047734461,-3.18366E-05
1/1/2012,1312.410034,0.043583062,0.047163475,0.015577123,0.020441358
2/1/2012,1365.680054,0.040589464,0.095207622,0.120429274,0.028977927
3/1/2012,1408.469971,0.031332315,0.119966601,0.244869205,0.06233078
4/1/2012,1397.910034,-0.007497453,0.065147323,0.115383371,0.025153856
5/1/2012,1310.329956,-0.062650726,-0.04052933,0.050819591,-0.025921793
6/1/2012,1362.160034,0.039554982,-0.032879605,0.083142541,0.031439316
7/1/2012,1379.319946,0.012597574,-0.013298487,0.050982475,0.067353759
8/1/2012,1406.579956,0.01976337,0.073454781,0.029948378,0.153984313
9/1/2012,1440.670044,0.024236154,0.057636407,0.022861739,0.27332908
10/1/2012,1412.160034,-0.01978941,0.023808898,0.010193789,0.126753354
11/1/2012,1416.180054,0.002846717,0.006825135,0.080781255,0.135706116
12/1/2012,1426.189941,0.00706823,-0.01005095,0.047006156,0.134056909
1/1/2013,1498.109985,0.050428097,0.060864172,0.086122179,0.141495376
2/1/2013,1514.680054,0.011060649,0.069553303,0.076853148,0.109103153
3/1/2013,1569.189941,0.035987724,0.100267149,0.089208419,0.114109618
4/1/2013,1597.569946,0.018085768,0.066390293,0.131295255,0.14282744
5/1/2013,1630.73999,0.020762812,0.0766234,0.151506114,0.244526222
